Date,Current (Amp),OEE (%),Idle,Running,Off,Part Count,Part Produced,Part Rejected,Total_energy (KwH),Production Cost,Operator Name,Part Name,Shift,Machine Status,Maintenance Flag
2025-05-01,19.5,94.8,1,22,1,185,184,1,175.5,1755.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2025-05-02,18.9,96.2,0,23,1,190,189,1,169.9,1699.00,Emma Wilson,Part Beta,Night,Running,0
2025-05-03,20.1,92.1,2,21,1,180,178,2,181.1,1811.00,David Lee,Part Gamma,Day,Running,0
2025-05-04,19.7,97.3,0,23,1,195,194,1,177.7,1777.00,Rachel Green,Part Alpha,Day,Running,0
2025-05-05,18.5,90.8,2,21,1,175,173,2,165.5,1655.00,Carlos Rodriguez,Part Beta,Night,Running,0
2025-05-06,20.3,95.4,1,22,1,188,186,2,183.3,1833.00,Emma Wilson,Part Gamma,Day,Running,0
2025-05-07,19.8,93.7,1,22,1,182,180,2,178.8,1788.00,David Lee,Part Alpha,Night,Running,0
2025-05-08,18.7,98.1,0,23,1,198,197,1,167.7,1677.00,Rachel Green,Part Beta,Day,Running,0
2025-05-09,19.4,91.5,2,21,1,177,175,2,174.4,1744.00,Carlos Rodriguez,Part Gamma,Night,Running,0
2025-05-10,20.0,96.8,0,23,1,193,192,1,180.0,1800.00,Emma Wilson,Part Alpha,Day,Running,0
2025-05-11,19.1,89.2,3,20,1,172,169,3,171.1,1711.00,David Lee,Part Beta,Day,Running,1
2025-05-12,19.9,94.6,1,22,1,187,185,2,179.9,1799.00,Rachel Green,Part Gamma,Night,Running,0
2025-05-13,18.8,97.5,0,23,1,196,195,1,168.8,1688.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2025-05-14,20.2,92.8,2,21,1,181,179,2,182.2,1822.00,Emma Wilson,Part Beta,Night,Running,0
2025-05-15,19.6,95.1,1,22,1,189,187,2,176.6,1766.00,David Lee,Part Gamma,Day,Running,0
2025-05-16,18.9,98.4,0,23,1,199,198,1,169.9,1699.00,Rachel Green,Part Alpha,Day,Running,0
2025-05-17,19.3,90.7,2,21,1,176,174,2,173.3,1733.00,Carlos Rodriguez,Part Beta,Night,Running,0
2025-05-18,20.4,96.9,0,23,1,194,193,1,184.4,1844.00,Emma Wilson,Part Gamma,Day,Running,0
2025-05-19,19.7,93.4,1,22,1,183,181,2,177.7,1777.00,David Lee,Part Alpha,Night,Running,0
2025-05-20,18.6,97.8,0,23,1,197,196,1,166.6,1666.00,Rachel Green,Part Beta,Day,Running,0
2025-05-21,19.8,91.1,2,21,1,178,176,2,178.8,1788.00,Carlos Rodriguez,Part Gamma,Day,Running,0
2025-05-22,20.1,95.7,1,22,1,191,189,2,181.1,1811.00,Emma Wilson,Part Alpha,Night,Running,0
2025-05-23,19.2,98.6,0,23,1,200,199,1,172.2,1722.00,David Lee,Part Beta,Day,Running,0
2025-05-24,18.8,92.5,2,21,1,179,177,2,168.8,1688.00,Rachel Green,Part Gamma,Night,Running,0
2025-05-25,19.9,96.3,0,23,1,192,191,1,179.9,1799.00,Carlos Rodriguez,Part Alpha,Day,Running,0
2025-05-26,20.0,94.0,1,22,1,184,182,2,180.0,1800.00,Emma Wilson,Part Beta,Day,Running,0
2025-05-27,19.5,97.2,0,23,1,195,194,1,175.5,1755.00,David Lee,Part Gamma,Night,Running,0
2025-05-28,18.7,93.8,1,22,1,185,183,2,167.7,1677.00,Rachel Green,Part Alpha,Day,Running,0
2025-05-29,19.4,89.5,3,20,1,173,170,3,174.4,1744.00,Carlos Rodriguez,Part Beta,Night,Running,1
2025-05-30,20.2,96.1,0,23,1,190,189,1,182.2,1822.00,Emma Wilson,Part Gamma,Day,Running,0
2025-05-31,19.6,94.7,1,22,1,186,184,2,176.6,1766.00,David Lee,Part Alpha,Day,Running,0
